iter	Passed	Remaining
0	190	189988
1	211	105386
2	236	78662
3	258	64276
4	279	55709
5	298	49378
6	318	45184
7	340	42230
8	364	40188
9	388	38489
10	410	36927
11	430	35469
12	453	34459
13	477	33619
14	497	32674
15	517	31805
16	538	31141
17	561	30627
18	583	30148
19	601	29481
20	622	29018
21	638	28391
22	655	27863
23	671	27302
24	689	26871
25	704	26383
26	720	25961
27	736	25557
28	754	25262
29	773	25009
30	792	24759
31	811	24561
32	830	24350
33	848	24099
34	868	23941
35	884	23692
36	904	23549
37	921	23327
38	936	23073
39	954	22908
40	971	22734
41	987	22527
42	1004	22359
43	1019	22158
44	1036	21995
45	1052	21830
46	1068	21671
47	1084	21513
48	1105	21460
49	1122	21335
50	1138	21193
51	1157	21106
52	1174	20989
53	1192	20892
54	1207	20739
55	1226	20668
56	1243	20579
57	1259	20454
58	1275	20350
59	1293	20258
60	1310	20173
61	1327	20083
62	1343	19983
63	1359	19883
64	1377	19811
65	1395	19741
66	1413	19679
67	1431	19623
68	1447	19526
69	1466	19478
70	1482	19398
71	1502	19366
72	1519	19299
73	1535	19215
74	1550	19127
75	1568	19066
76	1586	19012
77	1602	18943
78	1620	18888
79	1636	18820
80	1655	18778
81	1672	18724
82	1690	18678
83	1708	18634
84	1723	18558
85	1743	18530
86	1757	18448
87	1775	18403
88	1789	18321
89	1806	18269
90	1823	18214
91	1839	18153
92	1855	18094
93	1871	18034
94	1887	17976
95	1904	17930
96	1920	17880
97	1936	17825
98	1954	17790
99	1971	17746
100	1991	17723
101	2014	17736
102	2032	17704
103	2051	17674
104	2066	17617
105	2084	17581
106	2101	17535
107	2119	17505
108	2135	17454
109	2152	17412
110	2168	17370
111	2184	17318
112	2200	17271
113	2216	17227
114	2233	17191
115	2250	17153
116	2266	17106
117	2283	17070
118	2302	17044
119	2318	17001
120	2334	16959
121	2350	16918
122	2368	16889
123	2387	16864
124	2403	16825
125	2424	16815
126	2438	16764
127	2456	16733
128	2471	16686
129	2488	16656
130	2504	16616
131	2520	16576
132	2538	16548
133	2554	16506
134	2570	16471
135	2586	16430
136	2604	16406
137	2619	16361
138	2636	16330
139	2650	16283
140	2670	16267
141	2684	16223
142	2703	16202
143	2719	16167
144	2736	16134
145	2756	16120
146	2771	16080
147	2788	16053
148	2805	16021
149	2823	15998
150	2839	15967
151	2855	15929
152	2872	15900
153	2893	15897
154	2909	15863
155	2926	15833
156	2944	15808
157	2962	15786
158	2978	15752
159	2995	15724
160	3011	15690
161	3030	15674
162	3045	15638
163	3063	15615
164	3078	15580
165	3095	15554
166	3114	15536
167	3130	15505
168	3148	15483
169	3165	15453
170	3185	15441
171	3204	15426
172	3220	15395
173	3238	15372
174	3253	15337
175	3270	15313
176	3286	15281
177	3304	15261
178	3319	15226
179	3336	15199
180	3352	15170
181	3368	15141
182	3385	15112
183	3400	15080
184	3417	15053
185	3432	15020
